title,id,subCount,videoCount,viewCount,vidTitle,vidid,date,likes,dislikes,vid_views,vid_duration,vid_caption,likeRatio,startYear,startMonth,endYear,endMonth,interestChange,goodYoutuber,duration,Weighted_Sentiments
Katie Puckrik Smells,UCdQ4ti7kS20o1FhxAGncIQw,37100.0,203.0,6394082.0,Sensuous Noir by Estee Lauder: Perfume Review / Fragrance Review,6PF1S-GsAq0,2013-03-05,194.0,9.0,13484.0,PT2M19S,True,0.955665024630542,2013,3,2013,3,432.27,1,139,2.124851641094808
Cathy's Easy Beauty,UC_uf5KV73X9eMO6sLXRzPEQ,6760.0,301.0,577689.0,ESTEE LAUDER DAYWEAR TINTED MOISTURIZER REVIEW | Over 50 - Cathy&#39;s Life,oZ3bEmi7vKQ,2018-06-14,91.0,10.0,5776.0,PT4M32S,False,0.9009900990099008,2018,6,2018,6,-55.7449999999999,0,272,4.839955217588416
Morgan Acosta,UCMEat1O18wYotuhTcSsNC6Q,100.0,44.0,14199.0,REVIEW: Estee Lauder Perfecting Loose Setting Powder... DOES IT FLASHBACK?!,YP8nIYBk1JE,2017-09-05,37.0,6.0,8094.0,PT6M39S,False,0.8604651162790697,2017,9,2017,9,332.5999999999999,1,399,0.16033662289163036
melindaINT,UCLqRCYTkE5dbwGM7WF7b32A,32700.0,200.0,6884916.0,Estee Lauder Double Wear Demo and Review - Cashew,YF3PpeYCxMs,2013-09-02,318.0,32.0,105200.0,PT9M15S,False,0.9085714285714286,2013,9,2013,9,-85.22499999999991,0,555,6.086690626356479
i love makeup.,UCD-iKv5exBq27cnpyKpV9tA,509000.0,292.0,84686286.0,"Estée Lauder, Clinique, and Bobbi Brown Powder Foundation Review // I love makeup.",Q3E1TmLYitU,2015-01-05,447.0,43.0,32877.0,PT7M42S,False,0.9122448979591836,2015,1,2015,1,118.07000000000004,1,462,2.7716147277626657
KeikoBeauty,UC3i8YxzlYnwS_abCbpi6oPA,23400.0,930.0,3544873.0,Product Review⎮Estee Lauder Advanced Night Repair Recovery Complex II,iQCMAJDhzQ4,2015-05-18,214.0,11.0,30599.0,PT8M39S,True,0.9511111111111112,2015,5,2015,6,-172.10000000000005,0,519,5.666533238180608
The feel good mum,UCAUms2YkFxPS1M6UFmK-TIw,8410.0,292.0,1325497.0,Victoria Beckham - Morning Aura Illuminating Creme - Estee Lauder - 1 minute review,ImmJ3vIsTaw,2017-05-28,72.0,12.0,11222.0,PT1M,False,0.8571428571428571,2017,5,2017,6,34.649999999999984,1,60,1.716235480254915
mhunoiii,UC5eGGyFfugLSNNo77Te7-bQ,211000.0,562.0,35451239.0,Review : Estee Lauder Micro Essence น้ำตบสูตรใหม่ Sakura Ferment ต่างจากสูตรดั้งเดิมอย่างไร?,RPEnba-VeIE,2019-06-22,168.0,2.0,10368.0,PT11M5S,False,0.9882352941176472,2019,6,2019,7,92.17499999999971,1,665,0.019656034999602057
Makeup With Nadia,UCru5zN7GrKTo1HEGyWj49SQ,405.0,36.0,165590.0,Review on the Estee Lauder Revitalizing Supreme Global Anti-Aging Crème,Mhu4HBCI5w0,2015-01-10,114.0,32.0,40009.0,PT11M24S,False,0.7808219178082192,2015,1,2015,1,187.22000000000003,1,684,0.08125953997748836
Dani Lauren,UC-RSUqNhb-IuVXiBpyGlStg,87000.0,496.0,8210655.0,Estée Lauder Double Wear Stay-in-Place Foundation // Review &amp; Demo // Style By Dani,lqDMdcSyZGY,2015-04-22,510.0,100.0,132088.0,PT8M38S,True,0.8360655737704918,2015,4,2015,5,56.850000000000016,1,518,5.262507250708239
